=================================================
UTKU-PSO Results: Top-50000 Patterns
Parameters: k=50000, minProb=0,7000, pop_size=20, iterations=10000
=================================================
Rank   Pattern                                  Expected Util   Exist Prob     
-------------------------------------------------
1      {46}                                     151129.9200     1.000000       
2      {50}                                     103396.4400     1.000000       
3      {9}                                      93139.4700      1.000000       
4      {46, 9}                                  84894.3756      1.000000       
5      {15}                                     84432.6000      1.000000       
6      {70}                                     77787.2000      1.000000       
7      {46, 34}                                 71412.0096      1.000000       
8      {2}                                      70316.6400      1.000000       
9      {46, 50}                                 69168.3492      1.000000       
10     {46, 54}                                 66031.9248      1.000000       
11     {46, 15}                                 65617.6817      1.000000       
12     {21}                                     65372.2500      1.000000       
13     {54}                                     64770.7200      1.000000       
14     {50, 9}                                  62659.0743      1.000000       
15     {46, 25}                                 62164.7929      1.000000       
16     {46, 5}                                  60306.9069      1.000000       
17     {46, 70}                                 60224.1408      1.000000       
18     {46, 19}                                 59579.8224      1.000000       
19     {46, 27}                                 59202.5322      1.000000       
20     {46, 21}                                 58730.0474      1.000000       
21     {46, 11}                                 57780.1360      1.000000       
22     {46, 2}                                  56464.7580      1.000000       
23     {46, 58}                                 56157.0532      1.000000       
24     {46, 7}                                  55601.8854      1.000000       
25     {46, 52}                                 54881.5836      1.000000       
26     {46, 42}                                 54276.9630      1.000000       
27     {9, 70}                                  53768.3906      1.000000       
28     {9, 15}                                  53051.3008      1.000000       
29     {9, 34}                                  52851.3252      1.000000       
30     {46, 60}                                 51883.9530      1.000000       
31     {50, 34}                                 51856.3200      1.000000       
32     {46, 29}                                 51785.0312      1.000000       
33     {46, 74}                                 51716.6214      1.000000       
34     {11}                                     50470.6000      1.000000       
35     {9, 54}                                  49561.4400      1.000000       
36     {9, 21}                                  49253.2664      1.000000       
37     {50, 70}                                 49249.5816      1.000000       
38     {27}                                     47868.8400      1.000000       
39     {50, 15}                                 47556.2738      1.000000       
40     {46, 44}                                 46222.5960      1.000000       
41     {50, 54}                                 46041.8514      1.000000       
42     {9, 11}                                  45031.2191      1.000000       
43     {34}                                     44535.4800      1.000000       
44     {15, 34}                                 44034.4361      1.000000       
45     {46, 3}                                  43908.4400      1.000000       
46     {70, 34}                                 43881.0956      1.000000       
47     {15, 70}                                 43863.2030      1.000000       
48     {9, 27}                                  43402.2642      1.000000       
49     {9, 2}                                   43316.2917      1.000000       
50     {46, 31}                                 43090.9060      1.000000       
51     {15, 11}                                 42946.6345      1.000000       
52     {50, 25}                                 42794.0079      1.000000       
53     {15, 21}                                 42688.1635      1.000000       
54     {50, 21}                                 42222.3175      1.000000       
55     {46, 48}                                 42037.3536      1.000000       
56     {50, 5}                                  41823.7017      1.000000       
57     {46, 68}                                 41700.0914      1.000000       
58     {9, 25}                                  41460.4249      1.000000       
59     {50, 27}                                 40882.7064      1.000000       
60     {46, 13}                                 40452.6516      1.000000       
61     {50, 7}                                  40450.4973      1.000000       
62     {71}                                     39837.8400      1.000000       
63     {50, 2}                                  39646.8210      1.000000       
64     {46, 71}                                 39490.5124      1.000000       
65     {46, 17}                                 39213.1263      1.000000       
66     {50, 58}                                 39159.0040      1.000000       
67     {9, 5}                                   38866.8576      1.000000       
68     {50, 11}                                 38636.0702      1.000000       
69     {21, 34}                                 38431.3934      1.000000       
70     {46, 9, 34}                              38196.0605      1.000000       
71     {70, 54}                                 38141.3792      1.000000       
72     {15, 54}                                 38089.0401      1.000000       
73     {46, 66}                                 36932.8998      1.000000       
74     {70, 21}                                 36890.6940      1.000000       
75     {54, 34}                                 36757.0536      1.000000       
76     {50, 42}                                 36631.8008      1.000000       
77     {50, 52}                                 36340.9710      1.000000       
78     {15, 27}                                 36284.5323      1.000000       
79     {21, 54}                                 36164.4731      1.000000       
80     {50, 74}                                 35702.7864      1.000000       
81     {15, 25}                                 35454.9958      1.000000       
82     {70, 11}                                 35427.9596      1.000000       
83     {70, 2}                                  35392.2820      1.000000       
84     {50, 60}                                 35003.8032      1.000000       
85     {9, 42}                                  34468.2594      1.000000       
86     {9, 7}                                   34444.1429      1.000000       
